,address,lat,long,name
68,서울특별시 강남구 삼성로 605 (삼성동),37.51354184,127.0527183,삼성현대힐
69,서울특별시 강남구 논현로 508 (역삼동),37.5018592,127.03727759999992,GS타워
70,서울특별시 강남구 논현로 841 (신사동),37.52405601,127.027915,압구정미소
71,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",37.50393894,127.0485135,선릉역
72,서울특별시 강남구 영동대로 616 (삼성동),37.515351,127.060109,코엑스사거리
73,서울특별시 강남구 도곡로 183 (역삼동),37.492209,127.039389,역삼럭키
74,서울특별시 강남구 학동로 506 (삼성동),37.5186549,127.05143870000006,청담공원
75,서울특별시 강남구 언주로174길 29 (신사동),37.528115,127.036441,신압구정
76,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.50898041,127.0403869,아크로힐스논현
77,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.02968850000002,강남비젼타워
78,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",37.50080096,127.0351577,역삼역
79,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437,압구정로데오역
80,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308,르네상스사거리
81,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576,127.057966,포스코
82,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.505053,127.046577,선릉로
83,서울특별시 강남구 논현로 648 (논현동),37.5115577,127.03226199999994,논현힐탑
84,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.51736229999999,127.02329570000006,도산가로수길
85,서울특별시 강남구 선릉로 324 (대치동),37.4984818,127.052066,대치한티
86,서울특별시 강남구 광평로 280 (수서동),37.4873267937748,127.103140081887,수서역사거리
87,서울특별시 강남구 영동대로 517 (삼성동),37.513019,127.059838,코엑스아셈타워
88,서울특별시 강남구 테헤란로 231 (역삼동),37.50369465391196,127.04172081609172,센터필드R
89,서울특별시 강남구 언주로 727 (논현동),37.51966,127.0341,도산사거리
90,서울특별시 강남구 헌릉로569길 18 (세곡동),37.467274319644,127.099929726,강남세곡
91,서울특별시 강남구 영동대로 237 (대치동),37.500313,127.066961,대치삼성프라자
92,서울특별시 강남구 강남대로 396 (역삼동),37.4970572543978,127.028180714381,강남역신분당역사
93,서울특별시 강남구 테헤란로 620 (대치동),37.509206962541256,127.06560851480327,삼성역
94,서울특별시 강남구 테헤란로 311 (역삼동),37.50383,127.04487,테헤란로아남타워
95,서울특별시 강남구 강남대로 512 (논현동),37.5078978596254,127.023338614644,강남논현
96,서울특별시 강남구 영동대로96길 12 (삼성동),37.510843366121534,127.06363342044263,삼성동
97,서울특별시 강남구 역삼로 310 (역삼동),37.499367,127.048425,역삼이마트
98,서울특별시 강북구 삼양로 161 (미아동),37.618319,127.021072,미아뉴타운
99,서울특별시 강북구 도봉로 365 (수유동),37.6400354,127.0273766,강북구청사거리
100,서울특별시 강북구 도봉로 32 (미아동),37.611809,127.0306971,미아사거리역
101,서울특별시 강북구 도봉로 342 (번동),37.6380167,127.02613500000007,수유역
102,서울특별시 강북구 도봉로 196 (미아동),37.626148,127.026578,미아역
103,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,37.664380074618,127.008566467101,파라스파라서울
104,서울특별시 강서구 공항대로 248 (마곡동),37.558509,126.835096,발산역사거리
