상권_코드_명,상권_코드,기준 년 코드,기준_분기_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
강서로15길,1000554,2017.6129032258063,2.5483870967741935,2772516.935483871,6.129032258064516,20899393248.387096,5014298095.645162,2570655500.548387,1619956063.903226,2537592289.2580647,3650083694.129032,899714755.4193548,610202710.3225807,3131832741.290323,865057397.8709677
강서로17가길,1000555,2017.6129032258063,2.5483870967741935,2815322.0,6.548387096774194,14441358480.903225,3505605538.354839,1763334621.451613,1076211142.387097,1778407817.8064516,2541464264.225806,568825555.451613,422374489.0,2177388453.709677,607746598.516129
강서로18길,1000556,2017.6129032258063,2.5483870967741935,2837032.193548387,6.612903225806452,19541467112.0,4779025672.709678,2364610705.032258,1424941081.8064516,2417223708.870968,3423573841.322581,742334565.0,571165635.6774193,3001467818.774194,817124082.8064516
강서로29길,1000557,2017.6129032258063,2.5483870967741935,2722488.9677419355,6.0,12910196760.451612,3174096733.2580647,1573733805.2580645,964029816.6451613,1583057725.451613,2238381571.7419353,501655499.67741936,384489653.0,1946096026.3225806,544655929.0967742
강서로35길,1000558,2017.6129032258063,2.5483870967741935,2724494.0322580645,6.0,10553933697.64516,2760036967.83871,1284407396.8709676,775167015.2258065,1370422795.903226,1757023295.3225806,403757101.9354839,319070440.9354839,1436636201.2903225,447412482.32258064
강서로45길,1000559,2017.6129032258063,2.5483870967741935,4441934.451612903,8.0,6565361437.645162,1606484827.903226,805193128.1290323,470286546.0,810186387.3225807,1132518180.1935484,262720751.70967743,186747696.29032257,1013594698.8709677,277629221.2258065
강서로45다길,1000560,2017.6129032258063,2.5483870967741935,4212462.129032258,7.645161290322581,11213694630.0,2857712056.096774,1374485206.516129,817942650.8709677,1441992079.387097,1917378709.387097,433921596.67741936,328438366.0967742,1558721229.967742,483102735.0
강서로47길,1000561,2017.6129032258063,2.5483870967741935,3308095.6774193547,7.0,9946479762.516129,2439711383.483871,1196063136.580645,672040298.8064516,1195847975.6451614,1645929286.612903,373008125.61290324,280298101.2903226,1733201823.903226,410379630.58064514
강서로47라길,1000562,2017.6129032258063,2.5483870967741935,3636267.4516129033,7.612903225806452,8697875251.064516,2106022943.7741935,1053200503.8387097,598260792.0645162,1042241943.2580645,1453007008.8064516,338358317.9032258,244123338.0,1503979900.451613,358680502.9677419
강서로5가길,1000563,2017.6129032258063,2.5483870967741935,2793675.8387096776,6.129032258064516,11777417747.548388,2796712425.516129,1458602658.935484,931535235.1290323,1417068112.8064516,2057089441.0,537007676.3548387,343030213.0645161,1753475925.1612904,482896059.58064514
강서로5나길,1000564,2017.6129032258063,2.5483870967741935,2729939.0,6.0,12441990796.0,2987508126.516129,1535285261.548387,990233939.967742,1506370387.3548386,2153902183.16129,563451896.6774193,365876176.5483871,1830726740.8064516,508636083.41935486
강서로5라길,1000565,2017.6129032258063,2.5483870967741935,2808837.0967741935,6.225806451612903,11684938430.709677,3005389279.7419353,1407256983.516129,839342164.1290323,1494572691.8709676,1965263555.967742,448033405.83870965,348230206.58064514,1696698330.032258,480151813.0322581
